"SAMAccountName","LastLogonDate"
"_Clinical",
"_Communications",
"_SocialEnterpriseAss",
"_SocialEnterprisePri",
"kinad","11/19/2019 9:23:29 AM"
"kiram","2/17/2016 7:15:11 AM"
"KishaS","12/4/2017 10:35:32 AM"
"kitchen","3/12/2018 4:02:52 AM"
"kiyianac","11/11/2019 7:22:17 AM"
"krbtgt",
"kristat","8/13/2019 9:01:57 AM"
"KristineC","11/18/2019 9:57:46 AM"
"KyraB",
"lajuanap","10/30/2019 6:21:41 PM"
"lalitac","11/11/2019 4:42:45 PM"
"LanSweeper","11/19/2019 12:00:09 AM"
"LanthiaD","9/15/2018 9:08:23 AM"
"laresidence","11/23/2019 9:16:07 AM"
"larise","11/15/2019 10:58:04 AM"
"latoyah","9/17/2018 8:15:05 AM"
"lauraa","8/3/2018 8:02:57 AM"
"lauraag","10/22/2015 11:22:59 AM"
"laurad","11/15/2019 8:22:20 AM"
"laureem","4/21/2015 6:11:06 PM"
"laurenb","11/22/2019 3:21:17 PM"
"laurend",
"laurenl","1/31/2017 9:16:02 AM"
"laurenm","7/22/2019 9:19:54 AM"
"LaurenW","5/15/2017 7:41:52 AM"
"LavenaL","7/10/2017 12:07:32 PM"
"lbarrera-meza","4/10/2017 11:48:15 AM"
"leannem","7/28/2019 1:46:08 PM"
"LeticiaR","9/15/2017 9:22:45 AM"
"lilianc","12/3/2015 9:20:41 AM"
"lilianv",
"lillied",
"lilyf","11/18/2019 1:14:52 PM"
"lindat","11/19/2019 7:58:15 AM"
"lindital","12/10/2018 8:48:34 AM"
"lisah","10/28/2019 9:31:30 AM"
"lisal","6/7/2017 2:25:27 PM"
"lisaw","11/21/2019 4:22:11 PM"
"LisbetC","8/9/2017 6:00:04 AM"
"lishanw","1/7/2019 8:11:45 PM"
"lixac","5/22/2018 8:57:22 AM"
"lmendoza",
"lorainew","1/9/2019 11:37:24 AM"
"LoraS",
"lorilynl","11/22/2019 12:37:46 PM"
"luanab","6/30/2018 2:20:53 AM"
"lucindap","11/14/2018 2:37:48 PM"
"luise","12/16/2013 8:36:54 AM"
"luish",
"lukem","2/21/2017 9:04:21 AM"
"lukem3","3/31/2014 10:58:42 AM"
"LulaA",
"LunaC","11/20/2019 11:28:50 AM"
"luzm","5/24/2018 1:34:03 PM"
"lynnb","11/5/2019 9:19:43 AM"
"mabelr","7/29/2019 7:29:43 AM"
"madelinec","11/22/2019 8:36:08 AM"
"madelonw","11/26/2019 9:36:10 AM"
"MagdalenaD","3/7/2017 10:04:52 AM"
"MaggieP","2/22/2017 2:53:42 PM"
"maiap","11/12/2015 11:05:18 AM"
"maintenance",
"MandyS","10/12/2015 11:06:42 AM"
"MaraL","2/25/2019 8:58:57 AM"
"MarconjaZ","4/10/2017 9:00:14 AM"
"margauxh","10/1/2013 3:53:29 PM"
"MargueriteS","8/7/2017 8:29:55 AM"
"mariab","1/30/2018 9:56:44 AM"
"mariae","11/24/2019 11:02:54 PM"
"mariaedisabled","3/31/2017 5:58:16 AM"
"MariaF","1/27/2017 10:03:14 AM"
"mariag","9/4/2015 4:03:08 PM"
"mariaunnaf","12/11/2017 9:41:57 AM"
"maribelv","2/21/2015 9:43:27 AM"
"MarinaR","2/7/2017 10:01:11 AM"
"martha",
"marthad","11/27/2018 12:56:15 PM"
"maryannm","2/17/2015 8:57:49 AM"
"mayraf","11/22/2019 5:21:20 AM"
"meghand","3/15/2017 4:45:12 PM"
"melissam","10/20/2019 7:06:03 PM"
"melissat",
"metrics",
"mias","11/25/2019 8:56:09 AM"
"micheled",
"micheler","6/8/2019 9:47:57 AM"
"michelleb","11/19/2019 11:54:27 AM"
"michellee","11/21/2019 3:34:47 PM"
"michellek","11/25/2019 4:36:09 AM"
"micheller","11/18/2019 9:07:48 AM"
